time,Q_orifice,Q_pump,is_downhill,sea_level,storage_level
2013-05-19 22:00:00,0.000000,0.000000,1.000000,0.000000,0.400000
2013-05-19 23:00:00,0.000000,0.000000,1.000000,0.100000,0.418000
2013-05-20 00:00:00,1.669620,0.000000,1.000000,0.200000,0.429989
2013-05-20 01:00:00,3.889305,0.000000,1.000000,0.300000,0.433988
2013-05-20 02:00:00,2.125114,1.204191,1.000000,0.400000,0.440002
2013-05-20 03:00:00,0.000000,5.040872,0.000000,0.500000,0.439855
2013-05-20 04:00:00,0.000000,5.422016,0.000000,0.600000,0.438336
2013-05-20 05:00:00,0.000000,5.426202,0.000000,0.700000,0.436802
2013-05-20 06:00:00,0.000000,5.341535,0.000000,0.800000,0.435572
2013-05-20 07:00:00,0.000000,5.264185,0.000000,0.900000,0.434621
2013-05-20 08:00:00,0.000000,5.221975,0.000000,1.000000,0.433822
2013-05-20 09:00:00,0.000000,5.202363,0.000000,0.900000,0.433093
2013-05-20 10:00:00,0.000000,5.156304,0.000000,0.800000,0.432531
2013-05-20 11:00:00,0.000000,4.994088,0.000000,0.700000,0.432552
2013-05-20 12:00:00,0.000000,4.576840,0.000000,0.600000,0.434075
2013-05-20 13:00:00,0.000000,3.755049,0.000000,0.500000,0.438557
2013-05-20 14:00:00,2.125106,2.473546,1.000000,0.400000,0.440002
2013-05-20 15:00:00,3.975632,1.024423,1.000000,0.300000,0.440002
2013-05-20 16:00:00,5.105254,0.000000,1.000000,0.200000,0.439623
2013-05-20 17:00:00,5.544216,0.000000,1.000000,0.100000,0.437664
2013-05-20 18:00:00,5.286836,0.000000,1.000000,0.000000,0.436631
